
mm/dd, 2009:TDA:tempscr (C), 2008:TDA:tempscr (C), 2007:TDA:tempscr (C), 2004:TDA:tempscr (C), 2003:TDA:tempscr (C), 2002:TDA:tempscr (C), 2001:TDA:tempscr (C), 2000:TDA:tempscr (C), 1999:TDA:tempscr (C), 1998:TDA:tempscr (C), 1997:TDA:tempscr (C), 1996:TDA:tempscr (C), 1995:TDA:tempscr (C), 1994:TDA:tempscr (C), 1993:TDA:tempscr (C), 1992:TDA:tempscr (C), 1991:TDA:tempscr (C), 1990:TDA:tempscr (C), 1989:TDA:tempscr (C), 1988:TDA:tempscr (C), 1987:TDA:tempscr (C), 1986:TDA:tempscr (C), 1985:TDA:tempscr (C), 1984:TDA:tempscr (C), 1983:TDA:tempscr (C), 1982:TDA:tempscr (C), 1981:TDA:tempscr (C), 1980:TDA:tempscr (C), 1979:TDA:tempscr (C), 1976:TDA:tempscr (C), 1975:TDA:tempscr (C), 1974:TDA:tempscr (C), 1973:TDA:tempscr (C), 1972:TDA:tempscr (C), 1971:TDA:tempscr (C), 1970:TDA:tempscr (C)
4/1, NA, 6.700, 7.200, 8.900, 8.900, 5.600, 7.800, 6.700, 6.700, NA, 7.200, 7.200, 7.200, 7.778, 7.222, 9.444, 6.111, 7.778, 6.667, NA, 7.778, 8.333, 6.667, 7.778, 7.778, NA, NA, 6.667, NA, NA, NA, NA, NA, NA, NA, NA
4/2, NA, 6.700, 7.800, 8.900, 8.900, 6.700, 7.800, 8.300, 7.200, NA, 7.200, 7.200, 7.800, 7.778, 7.222, 9.444, 6.667, 7.778, 7.222, NA, 8.333, 8.333, 6.111, 7.778, 7.778, NA, NA, 6.667, NA, NA, NA, NA, NA, NA, NA, NA
4/3, NA, 6.700, NA, 8.900, 8.900, 6.700, 7.800, 8.300, 6.700, NA, 7.200, 7.200, 7.800, 7.778, 7.222, 9.444, 7.222, 7.778, 7.222, NA, 8.333, 8.333, 6.667, 7.778, 7.778, NA, NA, 6.667, NA, NA, NA, NA, 7.500, NA, NA, NA
4/4, NA, 6.700, NA, 10.000, 8.900, 7.200, 8.300, 8.900, 6.700, NA, 7.200, 7.200, 8.300, 8.333, 7.778, 10.000, 7.222, 7.778, 7.222, NA, 8.333, 8.333, 6.667, 8.333, 7.778, NA, NA, 7.222, NA, NA, NA, NA, NA, NA, NA, NA
4/5, NA, 6.700, NA, 10.000, 8.900, 7.200, 8.300, 8.900, 7.200, NA, 7.200, 7.200, 8.300, 8.333, 7.778, 10.000, 7.222, 7.778, 7.222, NA, 8.333, 8.333, 6.667, 8.333, 8.333, NA, NA, 6.667, NA, NA, NA, NA, NA, NA, NA, NA
4/6, NA, 7.200, 7.800, 10.600, 8.900, 5.000, 7.800, 8.900, 7.200, NA, 7.800, 7.200, 8.300, 7.778, 7.222, 10.000, 7.222, 7.778, 7.222, NA, 8.333, 8.889, 7.222, 8.889, 7.778, NA, NA, 7.222, NA, NA, NA, NA, NA, NA, 7.433, NA
4/7, NA, 7.200, 8.300, 10.000, 8.900, 7.800, 7.800, 8.900, 7.200, NA, 7.200, 7.200, 8.300, 7.778, 7.778, 10.000, 7.222, 8.333, 7.222, NA, 8.333, 8.889, 7.222, 8.889, 8.889, NA, NA, 7.778, NA, NA, NA, NA, NA, NA, NA, 8.233
4/8, NA, 7.200, 8.300, 11.100, 8.900, 7.200, 7.800, 9.200, 7.200, NA, 7.800, 7.800, 8.300, 8.889, 7.778, 10.000, 7.222, 8.333, 8.333, NA, 8.889, 8.333, 7.778, 8.889, 8.889, NA, NA, 7.778, NA, NA, 7.200, NA, NA, NA, NA, NA
4/9, NA, 7.200, 7.800, 10.000, 9.400, 6.700, 7.800, 9.400, 7.200, 8.900, 7.200, 8.300, 8.300, 8.889, 7.222, 10.000, 7.222, 8.889, 8.333, 7.780, 8.889, 8.333, 8.333, 8.889, 8.889, NA, NA, 7.778, NA, NA, NA, 8.000, NA, NA, NA, NA
4/10, NA, 7.200, 8.300, 11.100, 9.400, 8.300, 7.800, 9.400, 7.200, 9.400, 7.800, 8.300, 8.300, 10.000, 8.333, 10.556, 7.222, 8.889, 8.333, 7.780, 8.889, 8.333, 8.333, 8.889, 8.889, 7.220, NA, 7.778, NA, NA, NA, NA, NA, NA, NA, NA
4/11, NA, 7.200, 8.300, 11.100, 9.400, NA, 7.800, 8.900, 7.200, 8.900, NA, 8.300, 8.900, 9.444, 8.889, 10.000, 7.222, 8.889, 8.889, 7.780, 8.889, 8.889, 8.333, 8.889, 8.889, 7.220, NA, 7.778, NA, NA, NA, NA, NA, 8.440, NA, NA
4/12, NA, 7.800, 8.300, 12.800, 10.000, 8.300, NA, 9.400, 7.200, 9.400, 7.800, 7.200, 7.800, 9.444, 8.889, 10.556, 7.222, 9.444, 8.889, 8.330, 8.889, 8.889, 8.889, 8.889, 8.889, 7.220, NA, 7.778, NA, 8.000, NA, NA, NA, NA, NA, NA
4/13, NA, 8.300, 8.300, 12.800, 11.100, 8.900, 8.300, 8.900, 7.200, NA, 8.300, 8.900, 8.900, 9.444, 8.889, 10.000, 7.222, 9.444, 8.889, 8.330, 9.444, 8.889, 9.444, 8.889, 8.889, 7.220, NA, 8.333, NA, NA, NA, NA, NA, NA, NA, NA
4/14, NA, 8.900, 8.300, 12.200, 10.000, 10.000, 8.300, 8.900, 7.800, 9.400, 8.300, 7.800, 8.900, 9.444, 8.889, 10.556, 7.222, 9.444, 9.444, 8.330, 9.444, 9.444, 9.444, 8.333, 8.889, 7.780, NA, 8.889, NA, NA, NA, NA, NA, NA, NA, NA
4/15, NA, 8.300, 8.900, 11.700, 10.000, 9.400, 8.300, 10.000, 7.800, NA, 8.300, 9.400, 8.900, 9.444, 8.889, 10.556, 7.778, 9.444, 9.444, 8.890, 10.000, 9.444, 10.000, 8.889, 8.889, 7.780, NA, 8.889, NA, NA, NA, NA, NA, NA, NA, NA
4/16, NA, 7.800, 8.900, 11.700, 10.000, 9.400, 8.300, 10.000, 7.800, NA, NA, 9.400, 9.400, 10.000, 9.444, 10.556, 8.333, 10.000, 9.444, 9.440, 10.000, 9.444, 10.000, 8.889, 8.889, 7.780, NA, 8.889, NA, NA, NA, NA, NA, NA, NA, NA
4/17, NA, 8.300, 8.900, 11.700, 11.700, 9.400, 8.900, 11.100, 8.900, NA, NA, NA, 9.400, 10.000, 9.444, 10.556, 7.778, 10.556, 9.444, 9.440, 10.000, 9.444, 10.556, 8.889, 8.889, 8.060, NA, 8.333, NA, NA, NA, NA, 9.100, NA, NA, NA
4/18, NA, 7.800, 9.400, 11.100, 10.600, 9.400, 9.400, 10.600, NA, 10.000, 8.900, 9.400, 9.400, 10.556, 10.000, 11.111, 8.333, 10.556, 9.444, 9.440, 10.000, 9.444, 10.556, 9.444, 8.889, 8.330, NA, 8.889, NA, NA, NA, NA, NA, NA, NA, NA
4/19, NA, 7.800, 9.400, 12.200, 10.600, 10.000, 9.400, 11.100, 8.900, 10.000, 9.400, 9.400, 9.400, 10.000, 9.444, 11.111, 8.889, 10.556, 10.000, 10.000, 10.000, 9.444, 10.556, 9.444, 8.889, 8.330, NA, 9.444, NA, NA, NA, NA, NA, NA, NA, NA
4/20, NA, NA, 9.400, 12.200, 10.600, 10.000, 8.300, 11.700, NA, 10.000, 8.300, 9.400, 9.400, 11.667, 10.000, 11.667, 8.889, 10.556, 9.444, 10.000, 10.556, 9.444, 10.556, 10.000, 9.444, 8.330, NA, 10.000, NA, NA, NA, NA, NA, NA, 8.733, NA
4/21, NA, NA, 10.000, 11.700, 11.100, 10.000, 8.900, 11.100, NA, 10.000, 8.900, 9.400, 9.400, 11.667, 10.000, 11.667, 8.889, 11.111, 11.111, 10.560, 10.000, 10.000, 10.556, 10.000, 10.000, 8.330, NA, 10.000, NA, NA, NA, NA, NA, NA, NA, 8.967
4/22, NA, NA, 11.100, NA, 11.100, 10.600, 8.900, 11.100, 9.400, NA, 10.000, 9.400, NA, 10.556, 10.000, 11.111, 8.889, 11.111, 11.111, 10.560, 10.556, 10.000, 10.556, 10.000, 10.000, 8.330, NA, 10.000, NA, NA, 9.050, NA, NA, NA, NA, NA
4/23, NA, NA, 11.100, 11.700, 11.100, 10.600, 9.400, 11.100, 10.000, 11.100, 9.400, 9.400, 10.000, 11.667, 10.556, 11.111, 8.889, 11.111, 11.111, 10.560, 10.556, 10.000, 10.556, 10.000, 10.556, 8.890, NA, 10.556, NA, NA, NA, 9.700, NA, NA, NA, NA
4/24, NA, NA, 10.600, 11.700, 11.100, 11.100, 10.000, 11.100, NA, 11.100, 8.300, 9.400, 10.000, 11.667, 10.556, 11.111, 8.889, 11.111, 11.111, 10.560, 10.556, 10.000, 10.556, 9.000, 10.556, 8.890, 9.613, 10.556, NA, NA, NA, NA, NA, NA, NA, NA
4/25, NA, NA, 10.600, 11.700, 11.100, 11.700, 9.400, 11.100, NA, 11.100, 10.600, 9.400, 10.600, 11.667, 10.556, 11.111, 10.000, 11.111, 11.111, 10.560, 11.111, 10.000, 10.000, 9.000, 10.556, 9.440, 9.425, 11.111, NA, NA, NA, NA, NA, 9.167, NA, NA
4/26, NA, NA, 10.000, 11.700, 9.400, 12.200, 11.100, 11.100, 10.600, 12.200, 10.600, 9.400, 10.600, 10.556, 10.556, 12.222, 8.889, 12.222, 11.111, 10.560, 11.111, 10.000, 10.000, 10.333, 10.556, 9.440, 9.833, 11.111, NA, 8.800, NA, NA, NA, NA, NA, NA
4/27, NA, NA, 10.000, 12.200, 10.000, 12.200, 11.100, 11.100, 10.600, 13.900, 11.100, 10.000, 11.100, 11.111, 11.111, 12.222, 8.889, 11.667, 11.111, 10.560, 11.111, 10.000, 10.000, 9.778, 10.556, 9.440, 9.925, 11.667, NA, NA, NA, NA, NA, NA, NA, NA
4/28, NA, NA, 10.000, 12.800, 10.600, 12.200, 11.100, 10.600, 10.000, 11.700, 11.100, 10.000, 11.100, 13.333, 11.111, 11.667, 10.000, 11.667, 11.667, 11.110, 11.667, 10.000, 10.000, 9.222, 10.556, 9.440, 10.113, 11.667, NA, NA, NA, NA, NA, NA, NA, NA
4/29, NA, NA, 11.700, 12.800, 11.100, 12.200, 11.100, 10.000, NA, 11.700, 10.600, 10.000, 11.100, 12.222, 11.111, 12.778, 10.000, 11.667, 11.667, 11.670, 12.222, 10.000, 10.556, 9.222, 11.111, 9.440, 10.588, 11.667, NA, NA, NA, NA, NA, NA, NA, NA
4/30, NA, NA, 11.100, 12.200, 11.100, 12.800, 11.100, 10.600, 10.000, 12.200, 10.600, 10.000, 11.100, 12.222, 11.667, 11.667, 10.000, 11.667, 12.778, 11.670, 12.222, 10.000, 10.000, 10.000, 11.667, 10.560, 10.975, 11.667, NA, NA, NA, NA, NA, NA, NA, NA
5/1, NA, NA, 10.600, 12.200, 11.100, 12.200, 11.100, 10.000, 9.400, 12.800, 10.000, 10.000, 11.700, 12.222, 12.222, 12.222, 10.000, 12.778, 11.667, 11.670, 12.222, 10.000, 10.556, 10.000, 11.667, 10.560, 11.670, 12.222, NA, NA, NA, NA, 11.450, 10.900, NA, NA
5/2, NA, NA, 11.100, 12.200, 11.100, 12.800, 11.700, 11.700, 11.100, 12.800, 9.400, 10.000, 11.700, 11.667, 11.667, 11.667, 10.000, 11.667, 12.222, 11.110, 12.222, 10.000, 10.556, 10.000, 11.667, 10.560, 11.670, 12.222, NA, NA, NA, NA, NA, NA, NA, NA
5/3, NA, NA, 10.600, 13.300, 11.700, 12.200, 11.700, 11.700, 8.900, 13.300, 10.600, 10.600, 11.700, 12.778, 12.778, 11.667, 10.556, 11.667, 12.222, 11.670, 12.222, 10.000, 11.111, 10.000, 11.667, 10.560, 11.670, 12.778, NA, NA, NA, NA, NA, NA, NA, NA
5/4, NA, NA, 10.600, 12.800, 11.700, 12.800, 11.700, 11.700, 10.000, 13.900, 10.600, 10.000, 11.700, 11.667, 11.667, 12.222, 12.222, 11.111, 12.222, 10.000, 12.778, 10.556, 11.111, 9.444, 11.667, 10.560, 12.220, 12.778, NA, NA, NA, NA, NA, 12.800, 11.300, NA
5/5, NA, NA, 10.600, 12.800, 11.700, 12.800, 12.200, 11.100, 10.600, 13.900, 10.600, 10.600, 11.100, 11.667, 11.667, 13.333, 10.556, 11.667, 12.778, 11.670, 12.778, 10.556, 11.111, 9.444, 11.667, 10.560, 12.220, 13.333, NA, NA, NA, NA, NA, NA, NA, 10.633
5/6, NA, NA, 12.200, 13.300, 11.700, 10.600, 12.200, 11.100, 11.100, 14.400, 10.600, 11.100, 11.700, 11.667, 11.667, 12.222, 10.556, 11.667, 12.778, 12.220, 13.333, 10.556, 11.111, 10.000, 11.667, 11.110, 12.780, 13.333, NA, NA, 10.250, NA, NA, NA, NA, NA
5/7, NA, NA, 11.700, 12.800, 12.200, 13.300, 12.200, 12.200, 11.100, 14.400, 11.100, 11.100, 11.700, 12.778, 12.778, 13.889, 11.111, 11.667, 12.778, 12.220, 13.889, 10.556, 11.667, 10.556, 12.222, 11.670, 12.220, 13.333, NA, NA, NA, 11.200, NA, NA, NA, NA
5/8, NA, NA, 12.200, 12.200, 11.700, 10.000, 10.000, 12.200, 11.100, 14.400, 10.600, 11.700, NA, 11.667, 11.667, 13.889, 11.111, 11.667, 12.778, 12.220, 13.889, 10.556, 11.667, 10.000, 10.556, 11.110, 12.780, 13.333, NA, NA, NA, NA, NA, NA, NA, NA
5/9, NA, NA, 11.700, 12.200, 11.700, 13.300, NA, 12.200, 11.100, 13.900, 11.100, 11.700, 11.700, 12.778, 12.778, 13.889, 11.111, 11.667, 12.778, 12.220, 13.889, 11.111, 11.667, 10.000, 11.667, 11.110, 12.780, 13.333, NA, NA, NA, NA, NA, 11.933, NA, NA
5/10, NA, NA, 12.200, 13.900, 11.700, 13.300, NA, 12.800, 10.600, 14.400, 11.100, 11.700, 11.700, 12.222, 12.222, 13.333, 11.667, 11.667, 12.778, 12.220, 13.889, 11.111, 11.667, 10.556, 10.556, 11.110, 12.780, 13.333, NA, 12.350, NA, NA, NA, NA, NA, NA
5/11, NA, NA, 12.200, 13.900, 11.100, 13.900, 12.800, 12.200, 10.600, 13.900, NA, 11.700, 12.200, 11.111, 11.111, 13.889, 11.667, 11.667, 12.778, 12.780, 14.444, 11.111, 11.667, 10.556, 11.667, 11.110, 12.780, 13.889, NA, NA, NA, NA, NA, NA, NA, NA
5/12, NA, NA, 12.200, 13.900, 12.200, 13.900, 12.800, 12.200, 10.600, 13.900, 10.600, 11.700, 12.200, 12.222, 12.222, 14.444, 11.667, 12.778, 13.333, 13.330, 14.444, 11.111, 11.667, 10.556, 12.222, 11.110, 12.780, 13.889, NA, NA, NA, NA, NA, NA, NA, NA
5/13, NA, NA, 12.200, 13.900, 12.200, 13.900, 13.300, 12.800, 10.600, 13.900, 11.100, 12.200, 12.200, 12.778, 12.778, 13.889, 11.667, 12.778, 13.333, 13.330, 14.444, 11.111, 11.667, 11.111, 12.222, 11.670, 12.780, 13.333, NA, NA, NA, NA, NA, NA, NA, NA
5/14, NA, NA, 12.800, 14.400, 12.200, 13.900, 13.300, 12.800, 10.600, 13.300, 13.300, 12.800, 12.200, 12.778, 12.778, 13.889, 11.667, 12.778, 13.333, 13.330, 14.444, 11.111, 11.667, 11.111, 12.222, 11.670, 12.780, 13.333, NA, NA, NA, NA, NA, NA, NA, NA
5/15, NA, NA, 12.800, 14.400, 12.800, 11.700, 13.300, 12.200, 10.600, 13.300, 12.200, 12.200, 12.800, 12.778, 12.778, 13.889, 11.667, 12.778, 13.333, 13.330, 15.000, 11.111, 11.667, 11.111, 12.222, 11.670, 15.000, 13.333, NA, NA, NA, NA, 14.950, NA, NA, NA
5/16, NA, NA, 12.800, 14.400, 12.800, 13.900, 13.300, 13.300, 10.600, 11.700, 12.800, 12.200, 11.100, 13.333, 13.333, 14.444, 10.500, 12.778, 13.889, 13.330, 15.000, 11.667, 12.222, 11.667, 12.778, 12.220, 12.220, 13.333, NA, NA, NA, NA, NA, NA, NA, NA
5/17, NA, NA, 13.300, 13.900, 12.200, 14.400, 13.300, 12.200, 10.600, 13.300, 13.900, 13.300, 12.800, 12.778, 12.778, 13.889, 11.667, 12.778, 13.333, 13.330, 14.444, 11.667, 12.222, 11.667, 12.778, 12.220, 12.220, 13.889, NA, NA, NA, NA, NA, NA, NA, NA
5/18, NA, NA, 13.900, 14.400, 12.800, 10.600, 14.400, 12.200, 10.600, 12.200, 13.300, 13.300, 12.800, 13.889, 13.889, 14.444, 11.667, 12.778, 13.333, 13.330, 14.444, 12.222, 12.778, 12.222, 12.778, 12.220, 12.220, 13.889, NA, NA, NA, NA, NA, NA, 11.567, NA
5/19, NA, NA, 13.900, 14.400, 12.800, 11.700, 14.400, 12.200, 11.100, 14.400, 12.800, 12.800, 13.300, 13.889, 13.889, 12.222, 11.667, 12.778, 13.889, 13.890, 13.889, 12.222, 13.333, 12.222, 13.333, 12.220, 12.220, 13.889, NA, NA, NA, NA, NA, NA, NA, 13.100
5/20, NA, NA, NA, 14.400, 12.800, 15.000, 14.400, 12.200, 11.700, 14.400, 12.800, 12.200, 13.300, 13.889, 13.889, 12.222, 12.222, 12.778, 13.889, 13.890, 13.889, 12.778, 13.333, 12.222, 13.889, 12.220, 12.780, 13.889, NA, NA, 12.300, NA, NA, NA, NA, NA
5/21, NA, NA, NA, 14.400, 12.800, 14.400, 15.000, 13.900, 11.700, 12.200, 12.800, 12.800, 13.900, 13.889, 13.889, 14.444, 12.222, 12.778, 13.889, 13.890, 13.889, 12.778, 13.889, 12.222, 13.889, 12.780, 12.780, 13.889, NA, NA, NA, 11.700, NA, NA, NA, NA
5/22, NA, NA, NA, 13.900, 13.900, 12.800, NA, 13.900, 12.200, 13.300, 12.800, 13.300, 13.900, 13.889, 13.889, 14.444, 12.222, 12.778, 13.889, 13.890, 14.444, 12.778, 13.889, 12.222, 13.889, 12.780, 12.780, 14.444, NA, NA, NA, NA, NA, NA, NA, NA
5/23, NA, NA, NA, 13.900, 13.900, 15.600, 16.700, 13.900, 12.200, 13.300, 12.800, 12.800, 13.900, 14.444, 14.444, 13.889, 12.222, 12.778, 13.889, 13.890, 14.444, 12.778, 14.444, 12.222, 14.444, 13.330, 12.780, 13.889, NA, NA, NA, NA, NA, 12.267, NA, NA
5/24, NA, NA, NA, 15.000, 13.900, 15.000, NA, 13.900, 12.200, 13.900, 13.300, 12.800, 13.900, 13.889, 13.889, 15.000, 12.778, 12.778, 13.333, 13.890, 14.444, 12.778, 13.889, 12.222, 14.444, 13.890, 12.780, 13.889, NA, 12.600, NA, NA, NA, NA, NA, NA
